viewDate,areaMunKm,areaUcKm,uc,uf,municipio
15/12/2019,0.03,0,,MT,Nova Santa Helena
15/12/2019,0.07,0,,MT,Uniao do Sul
15/12/2019,0.08,0,,MT,Uniao do Sul
15/12/2019,0.15,0,,MT,Santa Carmem
15/12/2019,0.07,0,,MT,Uniao do Sul
15/12/2019,0.12,0,,MT,Uniao do Sul
15/12/2019,0.09,0,,MT,Uniao do Sul
15/12/2019,2.04,0,,MT,Uniao do Sul
15/12/2019,0.07,0,,MT,Terra Nova do Norte
15/12/2019,0.02,0,,MT,Nova Santa Helena
15/12/2019,0.25,0,,MT,Matupa
15/12/2019,0.1,0,,MT,Matupa
15/12/2019,1.91,0,,MT,Paranatinga
15/12/2019,3.7,0,,MT,Paranatinga
15/12/2019,0.18,0,,MT,Peixoto de Azevedo
15/12/2019,0.12,0,,MT,Peixoto de Azevedo
15/12/2019,0.3,0,,MT,Peixoto de Azevedo
15/12/2019,0.21,0,,MT,Peixoto de Azevedo
15/12/2019,1.34,0,,MT,Peixoto de Azevedo
15/12/2019,0.83,0,,MT,Matupa
15/12/2019,0.26,0,,PA,Sao Felix do Xingu
15/12/2019,0.21,0,,PA,Senador Jose Porfirio
16/12/2019,0.08,0,,AM,Tefe
15/12/2019,0.37,0,,MT,Querencia
15/12/2019,0.46,0,,MT,Querencia
15/12/2019,0.23,0,,MT,Marcelandia
17/12/2019,0.09,0,,RO,Jaru
17/12/2019,0.07,0,,RO,Theobroma
17/12/2019,0.15,0,,RO,Vale do Anari
17/12/2019,0.19,0,,RO,Cujubim
17/12/2019,0.11,0,,RO,Cujubim
17/12/2019,0.58,0,,MT,Colniza
17/12/2019,0.12,0,,RO,Cujubim
17/12/2019,0.29,0,,MT,Colniza
17/12/2019,6.73,0,,RO,Machadinho D'oeste
17/12/2019,0.07,0,,RO,Vale do Anari
17/12/2019,0.18,0,,RO,Vale do Anari
17/12/2019,0.11,0,,RO,Vale do Anari
17/12/2019,0.07,0,,RO,Machadinho D'oeste
17/12/2019,0.12,0,,RO,Machadinho D'oeste
17/12/2019,0.07,0,,RO,Vale do Anari
17/12/2019,0.14,0,,RO,Vale do Anari
17/12/2019,0.09,0,,RO,Machadinho D'oeste
17/12/2019,0.07,0,,RO,Machadinho D'oeste
17/12/2019,0.25,0,,RO,Machadinho D'oeste
17/12/2019,0.09,0,,RO,Machadinho D'oeste
17/12/2019,0.26,0,,MT,Tapurah
17/12/2019,0.32,0,,RO,Machadinho D'oeste
17/12/2019,0.34,0,,RO,Machadinho D'oeste
17/12/2019,0.11,0,,RO,Theobroma
17/12/2019,0.14,0,,AM,Manicore
17/12/2019,0.31,0,,RO,Machadinho D'oeste
17/12/2019,0.07,0,,RO,Vale do Paraiso
17/12/2019,0.08,0,,RO,Vale do Anari
17/12/2019,0.1,0,,RO,Machadinho D'oeste
